Jahr (Stichtag 01.01);Variante 1;Variante 2;Variante 3;IT.NRW
2021; 649 600;650300; 651 100; 633 477
2022; 653 300;654700; 656 300; 638 680
2023; 657 000;659100; 661 100; 643 775
2024; 660 700;663500; 666 800; 648 758
2025; 663 400;666900; 671 000; 653 636
2026; 666 200;670300; 675 300; 658 346
2027; 669 200;674000; 679 800; 662 873
2028; 672 200;677700; 684 300; 667 200
2029; 675 200;681300; 688 800; 671 311
2030; 678 200;685000; 693 200; 675 238
2031; 681 200;688700; 697 000; 678 633
2032; 684 200;692300; 702 200; 681 850
2033; 686 900;695700; 706 300; 684 928
2034; 689 600;699100; 710 516; 687 882
2035; 692 400;702500; 714 700; 690 763
;;;;
Veraenderung 2021/2035 absolut;42800;52200;63600;57286
Veraenderung 2021/2035 in Prozent;6,6;8,0;9,8;9,0
